Tanggal,OriginTime,Latitude,Longitude,Kedalaman (km),Magnitude,Type,Keterangan,Dirasakan,M,D,MD
1/1/2017,04:58:14,-8.93,110.05,10,4,MLv,"Pusat gempa di laut, 118 km BaratDaya Bantul D.I.Yogyakarta",TIDAK,M3,D1,M3D1
1/1/2017,06:43:49,-9.28,113.87,10,3,MLv,"Pusat gempa di laut, 124 km Tenggara Jember Jawa Barat",TIDAK,M2,D1,M2D1
1/1/2017,10:27:23,-9.04,112.87,10,3.3,MLv,Pusat gempa berada di laut 90 km Tenggara Kab.Malang - Jawa Timur,TIDAK,M3,D1,M3D1
1/1/2017,15:18:49,-10.46,112.54,10,3.4,MLv,Pusat gempa di laut 247 km Barat Daya Kab. Malang - Jawa Timur,TIDAK,M3,D1,M3D1
2/1/2017,21:02:24,-8.94,108.75,10,5.3,MLv,"Pusat gempa di laut, 140 km Tenggara Pangandaran Jawa Barat",TIDAK,M5,D1,M5D1
3/1/2017,03:52:37,-8.39,110.69,10,3.1,MLv,"Pusat gempa di laut, 40 km Tenggara GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
3/1/2017,11:52:07,-8.7,110.72,10,3.1,MLv,Pusat gempa di laut 69 km BaratDaya Pacitan Jawa Timur,TIDAK,M3,D1,M3D1
3/1/2017,14:12:25,-8.96,110.76,21,3.2,MLv,pusat gempa di laut 92 km barat daya Pacitan Jawa Timur,TIDAK,M3,D1,M3D1
4/1/2017,00:44:38,-9.27,113.48,10,3.4,,Pusat gempa di laut 124 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
4/1/2017,02:39:42,-11.45,113.23,10,4.8,MLv,Pusar gempa di laut 361 km tenggara Malang Jawa Timur,TIDAK,M4,D1,M4D1
4/1/2017,20:14:06,-8.74,110.71,10,3.2,MLv,Pusat gempa di laut 75 km BaratDaya Pacitan Jawa Timur,TIDAK,M3,D1,M3D1
5/1/2017,20:07:56,-9.81,111.75,10,3.2,MLv,Pusat gempa di laut 190 km Tenggara Trenggalek Jawa Timur,TIDAK,M3,D1,M3D1
5/1/2017,20:38:39,-8.36,108.97,65,3.8,MLv,Pusat gempa di laut 73 km BaratDaya Cilacap Jawa Tengah,TIDAK,M3,D2,M3D2
6/1/2017,10:21:46,-8.69,111.85,26,3.3,M,Pusat gempa di laut 67 km Barat Daya Tulung Agung - Jawa Timur,TIDAK,M3,D1,M3D1
6/1/2017,21:26:30,-6.93,113.61,10,3.3,MLv,"Pusat gempa di darat 29 km Timur Laut Pamekasan - Jawa Timur, dirasakan di Pamekasan I SIG-BMKG (II MMI)",YA,M3,D1,M3D1
8/1/2017,13:29:34,-9.12,112.19,10,3,MLv,Pusat gempa di laut 109 km BaratDaya Blitar Jawa Timur,TIDAK,M2,D1,M2D1
8/1/2017,21:42:19,-8.86,112.01,28,3.3,MLv,Pusat gempa di laut 84 km Barat Daya Blitar Jawa Timur,TIDAK,M3,D1,M3D1
8/1/2017,23:02:24,-8.63,110.7,26,2.9,MLv,Pusat Gempa di laut 67 km  Barat Daya Pacitan Jawa Timur,TIDAK,M2,D1,M2D1
9/1/2017,18:01:33,-8.19,108.57,73,3.2,MLv,Pusat gempa di laut 57 km Barat Daya Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2
11/1/2017,19:55:24,-7.98,110.42,3,2.6,MLv,Pusat gempa di darat 14 km Tenggara Bantul-D.I. Yogyakarta,TIDAK,M2,D1,M2D1
12/1/2017,01:06:51,-8.41,109.13,23,3.4,MLv,Pusat gempa di laut 77 km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1
13/01/2017,14:24:59,-7.99,110.41,10,3.6,MLv,"Pusat gempa di darat 14 km Tenggara Bantul - D.I. Yogyakarta, Dirasakan di Bantul II SIG-BMKG (III MMI), di Yogyakarta dan sekitarnya I SIG - BMKG (II MMI)",YA,M3,D1,M3D1
14/01/2017,01:19:05,-8.63,110.45,25,3.1,MLv,Pusat gempa di laut 69 km BaratDaya Gunung Kidul D.I.Yogyakarta,TIDAK,M3,D1,M3D1
15/01/2017,02:59:44,-7.35,110.43,2,2.6,MLv,Pusat gempa di darat 8 km Barat Daya Salatiga - Jawa Tengah,TIDAK,M2,D1,M2D1
16/01/2017,07:32:00,-9.31,112.3,10,3,MLv,"Pusat gempa di laut, 127 km Barat Daya Malang Jawa Timur",TIDAK,M2,D1,M2D1
17/01/2017,14:14:24,-8.87,111.09,10,3,MLv,Pusat gempa dilaut 76 km BaratDaya PACITAN-JATIM,TIDAK,M2,D1,M2D1
18/01/2017,17:57:25,-9.01,110.2,20,3.7,MLv,Pusat gempa di laut 124 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1
20/01/2017,05:42:25,-8.39,109.12,10,3.2,M,Pusat gempa di laut 77 km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1
21/01/2017,02:12:18,-9.24,111.78,20,3.3,MLv,"Pusat gempa di laut, 128 km Tenggara Trenggalek Jawa Timur",TIDAK,M3,D1,M3D1
21/01/2017,08:53:10,-9.99,113.83,10,4.1,M,"Pusat gempa di laut,201 km BaratDaya JEMBRANA-BALI",TIDAK,M4,D1,M4D1
22/01/2017,07:09:00,-8.8,112.94,36,3.2,MLv,Pusat gempa d laut 66 km Tenggara Kab. Malang - Jawa Timur,TIDAK,M3,D1,M3D1
22/01/2017,11:13:39,-8.35,109.31,23,3.2,MLv,"Pusat gempa di laut, 76 km Tenggara Cilacap Jawa Tengah",TIDAK,M3,D1,M3D1
23/01/2017,03:41:23,-8.87,110.49,18,3.1,MLv,"Pusat Gempa di laut, 94 km Barat Daya Gunungkidul - D.I Yogyakarta",TIDAK,M3,D1,M3D1
23/01/2017,06:39:40,-8.97,111.27,10,4,MLv,Pusat Gempa di Laut 87 km Tenggara Pacitan Jawa Timur,TIDAK,M3,D1,M3D1
23/01/2017,13:31:40,-9.34,112.75,30,3.4,MLv,Pusat gempa di laut 122 km Tenggara Kab. Malang Jatim,TIDAK,M3,D1,M3D1
23/01/2017,13:41:16,-9.07,112.28,27,3.8,MLv,Pusat gempa dilaut 100 km tenggara Pacitan,TIDAK,M3,D1,M3D1
23/01/2017,13:51:40,-9.7,112.87,20,3.7,MLv,Pusat gempa di laut 162 km tenggara Kab. Malang Jatim,TIDAK,M3,D1,M3D1
26/01/2017,18:00:00,-7.99,111.2,10,3.2,MLv,Pusat gempa di darat 20 km Tenggara WONOGIRI-JATENG,TIDAK,M3,D1,M3D1
28/01/2017,09:28:37,-9.44,113.06,10,4.7,M,Pusat gempa di laut 138 km Tenggara MALANG-JATIM,TIDAK,M4,D1,M4D1
29/01/2017,11:57:24,-9.73,112.87,10,4.9,MLv,Pusat gempa di laut 166 km tenggara Kab. Malang-Jatim,TIDAK,M4,D1,M4D1
29/01/2017,12:07:53,-9.48,112.85,10,3.7,MLv,Pusat gempa dilaut 138 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
29/01/2017,12:33:53,-9.49,112.87,10,3.7,MLv,Pusat gempa dilaut 139 km Tenggara Malang Jawa Timur,TIDAK,M3,D1,M3D1
29/01/2017,13:04:43,-8.9,109.85,10,3.4,MLv,Pusat gempa dilaut 123 Km BaratDaya Bantul - DIY,TIDAK,M3,D1,M3D1
