Datetime,Latitude,Longitude,Kedalaman,Magnitude,Type,Keterangan,Dirasakan,M,D,MD
1/25/2017,-5.3,113.4933984,12,0,,,,,,
1/26/2017,-7.99,111.2,10,3.2,MLv,Pusat gempa di darat 20 km Tenggara WONOGIRI-JATENG,TIDAK,M3,D1,M3D1
1/27/2017,0.4,118.7291661,12,0,,,,,,
1/28/2017,-9.44,113.06,10,4.7,M,Pusat gempa di laut 138 km Tenggara MALANG-JATIM,TIDAK,M4,D1,M4D1
1/29/2017,-9.73,112.87,10,4.9,MLv,Pusat gempa di laut 166 km tenggara Kab. Malang-Jatim,TIDAK,M4,D1,M4D1
1/30/2017,-8.34,108.54,103,3.5,MLv,"Pusat gempa di laut,74 km Barat Daya Pangandaran Jabar",TIDAK,M3,D2,M3D2
1/31/2017,-6.7,114.9364375,12,0,,,,,,
2/1/2017,-7.48,109,216,3.3,MLv,Pusat gempa di darat 15 km Barat Laut Banyumas Jateng,TIDAK,M3,D2,M3D2
2/2/2017,-9,111.32,20,3.2,MLv,Pusat gempa di laut 94 km Tenggara Pacitan - Jawa Timur,TIDAK,M3,D1,M3D1
2/3/2017,-10.04,113.38,10,3.8,MLv,pusat gempa di laut 210 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
2/4/2017,-8.52,108.62,60,3.5,MLv,Pusat gempa di laut 93 km BaratDaya KAB-PANGANDARAN-JABAR,TIDAK,M3,D2,M3D2
2/5/2017,-8,119.6176294,20,0,,,,,,
2/6/2017,-9.23,112.08,10,4.1,M,Pusat gempa di laut 123 km BaratDaya KAB-BLITAR-JATIM,TIDAK,M4,D1,M4D1
2/7/2017,-8.33,109.08,30,3.1,MLv,Pusat gempa di laut 70 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
2/8/2017,-7.63,113.54,17,2.9,MLv,Pusat gempa di laut 27 km TimurLaut KAB-PROBOLINGGO-JATIM,TIDAK,M2,D1,M2D1
2/9/2017,-8.91,111.36,30,3.5,MLv,Pusat gempa di laut 85 km Tenggata Pacitan Jatim,TIDAK,M3,D1,M3D1
2/10/2017,-8.62,110.74,10,3.3,MLv,Pusat gempa di laut 62 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
2/11/2017,-9.14,113.48,10,3.1,M,Pusat gempa di laut 110 km Barat Daya Jember - Jawa Timur,TIDAK,M3,D1,M3D1
2/12/2017,-8.92,110.68,10,3.6,MLv,Pusat gempa 94 km BaratDaya PACITAN-JATIM,TIDAK,M3,D1,M3D1
2/13/2017,-5.6,116.3489728,22,0,,,,,,
2/14/2017,-6.9,109.7192138,22,0,,,,,,
2/15/2017,-8.85,110.51,10,2.8,MLv,Pusat gempa di laut 91 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
2/16/2017,-6.8,111.2619164,22,0,,,,,,
2/17/2017,-8.66,110.03,11,2.9,MLv,Pusat gempa di laut 91 km BaratDaya Bantul DIY,TIDAK,M2,D1,M2D1
2/18/2017,-8.51,110.72,21,2.5,MLv,Pusat gempa di laut 54 km Tenggara GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
2/19/2017,0.5,117.1083995,22,0,,,,,,
2/20/2017,-8.3,109.8,39,3.4,MLv,Pusat gempa di laut 66 km BaratDaya KULONPROGO-D.I Yogyakarta,TIDAK,M3,D1,M3D1
2/21/2017,-8.28,109.29,20,3.1,MLv,Pusat gempa di laut 71 km Tenggara CILACAP-JATENG,TIDAK,M3,D1,M3D1
2/22/2017,-9.55,112.76,10,3.3,MLv,Pusat gempa di laut 145 km tenggara Kab. Malang-Jatim,TIDAK,M3,D1,M3D1
2/23/2017,-10.1,112.35,10,3.2,MLv,Pusat gempa di laut 210 km BaratDaya KAB-MALANG JATIM,TIDAK,M3,D1,M3D1
2/24/2017,-6.6,116.9048419,22,0,,,,,,
2/25/2017,-8.66,111.33,13,3.1,MLv,"Pusat gempa di laut, 58 km Tenggara Pacitan Jatim",TIDAK,M3,D1,M3D1
2/26/2017,-8.18,108.76,85,3.9,M,Pusat gempa di laut 56 km Tenggara Kab. Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2
2/27/2017,-8.77,112.16,31,2.7,MLv,Pusat gempa di laut 71 km BaratDaya Blitar JATIM,TIDAK,M2,D1,M2D1
2/28/2017,-9.27,113.28,10,4.3,MLv,Pusat gempa dilaut 130 km BaratDaya JEMBER-JATIM,TIDAK,M4,D1,M4D1
3/1/2017,-9.2,113.5,21,2.7,MLv,Pusat gempa di laut 116 km Barat daya Jember - Jawa Timur,TIDAK,M2,D1,M2D1
3/2/2017,-8.36,110.6,59,3,MLv,Pusat gempa di laut 36 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
3/3/2017,-3.7,114.1087795,30,0,,,,,,
3/4/2017,-5.6,117.1709324,30,0,,,,,,
3/5/2017,-9.02,110.55,7,3.2,MLv,Pusat gempa di laut 110 km barat daya Gunungkidul-DIY,TIDAK,M3,D1,M3D1
3/6/2017,-1.4,119.5218648,30,0,,,,,,
3/7/2017,-8.73,110.31,10,2.6,MLv,Pusat gempa di laut 90 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
3/8/2017,-8.91,110.23,35,4.7,MLv,Pusat gempa dilaut 106 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M4,D1,M4D1
3/9/2017,-7.56,109.9,10,2.9,MLv,Pusat gempa di darat 21 km Selatan WONOSOBO JATENG,TIDAK,M2,D1,M2D1
3/10/2017,-1.9,112.8888859,32,0,,,,,,
3/11/2017,-8.67,110.16,21,2.8,MLv,Pusat gempa dilaut 88 km BaratDaya BANTUL-D.I. Yogyakarta,TIDAK,M2,D1,M2D1
3/12/2017,-7.62,111.46,6,2.4,MLv,"Pusat gempa di darat, 7km Barat Laut Kota Madiun Jatim",TIDAK,M2,D1,M2D1
3/13/2017,-8.76,113.46,91,4,MLv,Pusat gempa di laut 70 km BaratDaya JEMBER-JATIM,TIDAK,M3,D2,M3D2
3/14/2017,-5.78,110.1,552,5,MLv,Pusat gempa di laut 108 km BaratLaut JEPARA-JATENG,TIDAK,M4,D3,M4D3
3/15/2017,-9.13,110.08,8,4.6,MLv,Pusat gempa di laut 135 km Barat Daya Gunungkidul - D.I. Yogyakarta,TIDAK,M4,D1,M4D1
3/16/2017,-9.26,112.9,11,3.2,MLv,"Pusat gempa dilaut,114 km Tenggara Kab. Malang Jatim",TIDAK,M3,D1,M3D1
