Tanggal,OriginTime,Latitude,Longitude,Kedalaman (km),Magnitude,Type,Keterangan,Dirasakan,M,D,MD,No
1/1/2017,04:58:14,-8.93,110.05,10,4,MLv,"Pusat gempa di laut, 118 km BaratDaya Bantul D.I.Yogyakarta",TIDAK,M3,D1,M3D1,1
1/2/2017,21:02:24,-8.94,108.75,10,5.3,MLv,"Pusat gempa di laut, 140 km Tenggara Pangandaran Jawa Barat",TIDAK,M5,D1,M5D1,2
1/3/2017,03:52:37,-8.39,110.69,10,3.1,MLv,"Pusat gempa di laut, 40 km Tenggara GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1,3
1/4/2017,00:44:38,-9.27,113.48,10,3.4,,Pusat gempa di laut 124 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1,4
1/5/2017,20:07:56,-9.81,111.75,10,3.2,MLv,Pusat gempa di laut 190 km Tenggara Trenggalek Jawa Timur,TIDAK,M3,D1,M3D1,5
1/6/2017,10:21:46,-8.69,111.85,26,3.3,M,Pusat gempa di laut 67 km Barat Daya Tulung Agung - Jawa Timur,TIDAK,M3,D1,M3D1,6
1/7/2017,11:21:46,-3.0,115.5346426,10,0,,,,,,,7
1/8/2017,13:29:34,-9.12,112.19,10,3,MLv,Pusat gempa di laut 109 km BaratDaya Blitar Jawa Timur,TIDAK,M2,D1,M2D1,8
1/9/2017,18:01:33,-8.19,108.57,73,3.2,MLv,Pusat gempa di laut 57 km Barat Daya Pangandaran - Jawa Barat,TIDAK,M3,D2,M3D2,9
1/10/2017,19:01:33,-7.1,107.4757765,12,0,,,,,,,10
1/11/2017,19:55:24,-7.98,110.42,3,2.6,MLv,Pusat gempa di darat 14 km Tenggara Bantul-D.I. Yogyakarta,TIDAK,M2,D1,M2D1,11
1/12/2017,01:06:51,-8.41,109.13,23,3.4,MLv,Pusat gempa di laut 77 km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1,12
1/13/2017,14:24:59,-7.99,110.41,10,3.6,MLv,"Pusat gempa di darat 14 km Tenggara Bantul - D.I. Yogyakarta, Dirasakan di Bantul II SIG-BMKG (III MMI), di Yogyakarta dan sekitarnya I SIG - BMKG (II MMI)",YA,M3,D1,M3D1,13
1/14/2017,01:19:05,-8.63,110.45,25,3.1,MLv,Pusat gempa di laut 69 km BaratDaya Gunung Kidul D.I.Yogyakarta,TIDAK,M3,D1,M3D1,14
1/15/2017,02:59:44,-7.35,110.43,2,2.6,MLv,Pusat gempa di darat 8 km Barat Daya Salatiga - Jawa Tengah,TIDAK,M2,D1,M2D1,15
1/16/2017,07:32:00,-9.31,112.3,10,3,MLv,"Pusat gempa di laut, 127 km Barat Daya Malang Jawa Timur",TIDAK,M2,D1,M2D1,16
1/17/2017,14:14:24,-8.87,111.09,10,3,MLv,Pusat gempa dilaut 76 km BaratDaya PACITAN-JATIM,TIDAK,M2,D1,M2D1,17
1/18/2017,17:57:25,-9.01,110.2,20,3.7,MLv,Pusat gempa di laut 124 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M3,D1,M3D1,18
1/19/2017,18:57:25,-2.3,112.3463222,12,0,,,,,,,19
1/20/2017,05:42:25,-8.39,109.12,10,3.2,M,Pusat gempa di laut 77 km Tenggara Cilacap - Jawa Tengah,TIDAK,M3,D1,M3D1,20
1/21/2017,02:12:18,-9.24,111.78,20,3.3,MLv,"Pusat gempa di laut, 128 km Tenggara Trenggalek Jawa Timur",TIDAK,M3,D1,M3D1,21
1/22/2017,07:09:00,-8.8,112.94,36,3.2,MLv,Pusat gempa d laut 66 km Tenggara Kab. Malang - Jawa Timur,TIDAK,M3,D1,M3D1,22
1/23/2017,03:41:23,-8.87,110.49,18,3.1,MLv,"Pusat Gempa di laut, 94 km Barat Daya Gunungkidul - D.I Yogyakarta",TIDAK,M3,D1,M3D1,23
1/24/2017,04:41:23,-7.4,112.7205814,12,0,,,,,,,24
1/25/2017,05:41:23,-5.3,113.4933984,12,0,,,,,,,25
