Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2021-01-02,109.62569,-8.074,60,2.7,"
	Pusat gempa dilaut 45 km BaratDaya KEBUMEN-JATENG&nbsp;
",-1
2021-01-04,109.01801,-8.453,18,3.5,"
	Pusat gempa di laut 80 km Tenggara CILACAP - JATENG
",-1
2021-01-05,110.27662,-8.925,10,3.1,"
	Pusat gempa di laut 109 km BaratDaya gunungkidul-DIY
",0
2021-01-07,111.20058,-8.789,20,3.4,"
	Pusat gempa di laut 68 km Tenggara PACITAN-JATIM
",-1
2021-01-08,108.92644,-8.536,26,2.8,"
	Pusat gempa di laut 90 km BaratDaya CILACAP-JATENG
",-1
2021-01-11,110.48985,-7.931,10,2.5,"
	Pusat gempa di darat 15 km Baratlaut GUNUNGKIDUL - DIY
",-1
2021-01-14,108.73,-8.47,44,4.2,"
	Pusat gempa di laut 87 km barat daya Cilacap Jateng
",-1
2021-01-15,112.46,-8.85,84,2.9,"
	Pusat gempa di laut 80 km BaratDaya Kepanjen - Jawa Timur
",-1
2021-01-16,110.82176,-8.381,14,2.5,"
	Pusat gempa di laut 38 km BaratDaya PACITAN-JATIM
",-1
2021-01-18,110.59764,-8.991,39,4.9,"
	Pusat gempa di laut 97 km BaratDaya PACITAN-JAWA TIMUR
",-1
2021-01-19,109.70253,-8.781,22,3.0,"
	Di Laut 115 km Barat Daya Bantul - DIY
",0
2021-01-20,106.611294,-7.4,12,0.0,,-1
2021-01-21,111.77749,-8.313,80,2.8,"
	Pusat gempa dilaut 26 km Tenggara Trenggalek - Jatim
",-1
2021-01-22,113.61,-8.83,10,3.0,"
	Pusat gempa dilaut 70 km Barat daya Jember Jatim
",-1
2021-01-23,110.3876,-8.952,68,3.1,"
	Pusat gempa di laut 109 km BaratDaya GUNUNGKIDUL-DIY
",0
2021-01-25,110.7426,-8.805,27,2.9,"Pusat gempa di laut, 80 km BaratDaya PACITAN-JATIM",-1
2021-01-26,111.73081,-8.379,62,2.9,"
	Pusat gempa di laut 32 km Tenggara TRENGGALEK-JATIM
",-1
2021-01-27,110.66676,-8.898,10,2.7,"
	Pusat gempa di laut 75 km BaratDaya PACITAN - JATIM
",-1
2021-01-31,110.43197,-8.0,11,2.3,"
	Pusat gempa didarat 13 km Tenggara Bantul - DIY
",-1
2021-02-01,108.91101,-8.394,78,4.2,"
	Pusat gempa dilaut 74 Km Barat Daya Cilacap-Jateng
",-1
2021-02-04,110.02025,-8.637,30,3.0,"
	Pusat gempa di laut 89 km Baratdaya Bantul - D.I Yogyakarta
",0
2021-02-05,110.31418,-8.817,24,3.0,"
	Pusat gempa dilaut 97 km BaratDaya GunungKidul - D.I Yogyakarta
",0
2021-02-06,110.51517,-8.177,10,2.4,"
	Pusat gempa di laut 23 km BaratDaya GUNUNGKIDUL - DIY
",-1
2021-02-09,109.2705,-8.359,39,3.6,"
	Pusat di laut, 76 km Tenggara Cilacap Jateng
",-1
2021-02-10,110.36607,-8.05,12,2.0,"
	Pusat gempa di darat 16 km Tenggara BANTUL-DIY
",-1
2021-02-11,110.25469,-8.887,28,2.7,"
	Pusat gempa di laut 106 km BaratDaya GUNUNGKIDUL-DIY
",-1
2021-02-13,110.45753,-7.989,8,1.9,"
	Pusat gempa di darat, 15 km Tenggara BANTUL-DIY
",-1
2021-02-14,109.77645,-8.796,16,3.0,"
	Pusat gempa dilaut, 116 km BaratDaya KULONPROGO-DIY
",0
2021-02-15,112.09219,-6.376,637,5.0,"
	Pusat gempa di laut 58 km TimurLaut TUBAN-JATIM
",-1
2021-02-16,111.42905,-8.691,10,3.3,"
	Pusat gempa di laut 67 km Tenggara PACITAN - JATIM
",-1
2021-02-17,109.04606,-8.25,14,3.0,"
	Pusat gempa dilaut&nbsp; 58 km Tenggara CILACAP-JATENG
",-1
2021-02-20,111.2096,-8.848,19,3.1,"
	Pusat gempa di laut 75 km Tenggara Pacitan - JATIM
",-1
2021-02-21,108.96396,-8.65,10,3.2,"
	Pusat gempa sdi laut 102 km BaratDaya CILACAP - JATENG
",-1
2021-02-22,112.18233,-8.571,47,2.9,"
	Pusat gempa dilaut 48 km BaratDaya KAB-BLITAR-JATIM
",-1
